Name,Customer_ID,Account_Number,Meter_Number,Age,Location,Income,Purchase_Frequency,Purchase_History,Churn_Status,Customer_Satisfaction_Score,Average_Resolution_Time_Hours,Complaint_Frequency,Transaction_DateTime,Transaction_Reference,Receipt_Number,Payment_Type,Meter_Type,Tariff_Class,Amount_Paid,Units_Purchased,Token,VAT,Service_Charge,Debt_Arrears,Previous_Meter_Reading,Current_Meter_Reading,Energy_Consumption,Billing_Cycle,Billing_Accuracy,Power_Outage_Frequency,Power_Outage_Duration_Hours,Service_Usage
Valerie Rogers,CUST500555,AEDC100555,MTR200555,44,"Lugbe, Abuja, Nigeria",128573,9,70397.18,Yes,4.33,17.39,1,2025-05-01 18:55:05.898351,8650ed65-cda8-4b65-8363-64fbc6d568e5,RCPT300555,Transfer,Postpaid,A,7972.12,67.2,,597.91,1625.01,72617.7,6817,6884,67,Jun-2025,0.86,7,5.93,502.43
Jill Schneider,CUST500556,AEDC100556,MTR200556,33,"Karu, Abuja, Nigeria",48277,8,20068.09,No,3.4,39.77,4,2025-05-30 22:17:11.500656,9362fbe3-e858-40aa-b76d-4574e8662d51,RCPT300556,Mobile App,Prepaid,C,2572.01,28.18,54248342787698046842,192.9,1981.37,2221.43,1726,1754,28,May-2025,0.92,3,7.98,311.46
Laura Harper,CUST500557,AEDC100557,MTR200557,43,"Kubwa, Abuja, Nigeria",30000,4,16581.36,Yes,4.18,19.8,0,2025-08-18 14:55:26.600855,4e5bec6e-4946-4246-9939-ecc38e9aed95,RCPT300557,POS,Postpaid,B,3625.66,54.83,,271.92,1218.49,36744.48,4102,4156,54,Jan-2025,0.84,6,12.53,240.18
Cynthia Taylor,CUST500558,AEDC100558,MTR200558,36,"Gwarinpa, Abuja, Nigeria",58452,8,69989.95,No,3.26,48.12,3,2025-05-16 06:14:16.024388,c6568559-6b0a-4f04-827a-3abacaad1754,RCPT300558,Cash,Postpaid,B,7120.51,115.78,,534.04,552.38,7072.3,1556,1671,115,Jan-2025,0.86,5,13.08,972.42
Trevor Benson,CUST500559,AEDC100559,MTR200559,50,"Gwagwalada, Abuja, Nigeria",119738,13,124914.94,No,3.87,32.57,4,2026-03-07 05:41:17.557444,df45f8c1-c2c0-4d82-b171-a3e52a506081,RCPT300559,POS,Postpaid,A,11181.79,104.85,,838.63,841.56,6620.34,1064,1168,104,Mar-2025,0.9,0,0.0,1334.46
Noah Bryant,CUST500560,AEDC100560,MTR200560,39,"Asokoro, Abuja, Nigeria",170727,5,117864.19,No,3.79,35.77,2,2026-02-10 16:18:28.112191,4e25d730-3564-4cdc-be8b-c7ec499062e4,RCPT300560,Transfer,Postpaid,A,19024.93,164.29,,1426.87,585.61,26041.6,4565,4729,164,Apr-2025,0.94,6,9.03,733.37
Patrick Williams,CUST500561,AEDC100561,MTR200561,41,"Jabi, Abuja, Nigeria",188474,10,125860.16,No,4.11,24.45,2,2025-09-15 23:59:11.260602,795a4fb9-8d4b-429c-8962-100504b026b1,RCPT300561,Transfer,Postpaid,B,8821.41,80.36,,661.61,717.32,3762.04,6847,6927,80,Jun-2025,0.92,3,4.92,743.82
Kyle Schneider,CUST500562,AEDC100562,MTR200562,33,"Gwagwalada, Abuja, Nigeria",30000,9,26407.03,Yes,3.47,30.06,4,2025-09-07 19:11:18.172086,1ef6ace5-bb66-4d4e-af1d-ad6dc43d1c29,RCPT300562,POS,Postpaid,C,2544.28,24.36,,190.82,650.7,10404.33,6024,6048,24,May-2025,0.92,5,8.6,238.27
Shannon Evans,CUST500563,AEDC100563,MTR200563,19,"Lugbe, Abuja, Nigeria",35991,10,53767.58,No,4.03,22.74,3,2025-09-18 09:01:27.581981,3d07fee0-2f91-4849-8fb5-c8df41e60d53,RCPT300563,Cash,Postpaid,B,5827.23,47.38,,437.04,1165.03,11678.33,2818,2865,47,Jan-2025,0.91,3,2.77,389.0
Melissa Rowland,CUST500564,AEDC100564,MTR200564,32,"Lugbe, Abuja, Nigeria",52014,10,37768.32,No,3.51,31.32,4,2025-06-20 18:54:45.543335,ceff9cd9-a31e-4043-9c8c-9b609511d9d3,RCPT300564,POS,Prepaid,A,4106.29,51.83,24639369532702245988,307.97,524.3,19950.27,1333,1384,51,Jun-2025,0.94,3,7.47,494.91
Deborah Mitchell,CUST500565,AEDC100565,MTR200565,40,"Kurudu, Abuja, Nigeria",90858,4,47552.04,No,4.52,19.77,0,2025-07-31 03:25:42.449116,cb73a81b-3615-489b-8225-76144a1793d8,RCPT300565,Cash,Postpaid,B,10009.82,97.1,,750.74,612.27,20536.91,7858,7955,97,Jun-2025,0.87,3,5.58,357.39
Justin Hickman,CUST500566,AEDC100566,MTR200566,38,"Gwarinpa, Abuja, Nigeria",139166,4,61302.75,No,4.44,17.82,0,2025-05-12 01:27:36.928664,bd6297e3-ba5a-40e0-b742-176fe55d6b49,RCPT300566,Cash,Postpaid,B,10842.29,111.24,,813.17,2307.7,11080.95,4462,4573,111,May-2025,0.94,3,7.55,383.43
Pamela Mills,CUST500567,AEDC100567,MTR200567,48,"Kurudu, Abuja, Nigeria",30000,8,13675.98,Yes,3.06,34.79,4,2025-12-18 08:40:50.337386,952b8ec8-8353-4b8c-925b-45d09c2d39dc,RCPT300567,POS,Postpaid,A,1980.4,28.35,,148.53,2274.71,28164.55,4474,4502,28,Feb-2025,0.88,6,15.75,228.62
Karen Saunders,CUST500568,AEDC100568,MTR200568,61,"Kurudu, Abuja, Nigeria",149312,14,127521.16,No,3.32,34.79,3,2026-01-20 13:17:02.756360,6180e5d3-3ede-4d2d-8b06-07f4e93d26bb,RCPT300568,POS,Postpaid,C,6440.26,86.58,,483.02,423.89,8805.01,5441,5527,86,Apr-2025,0.85,6,14.62,1196.48
Jodi Phillips,CUST500569,AEDC100569,MTR200569,27,"Dutse, Abuja, Nigeria",34039,5,18977.86,No,4.07,29.97,2,2025-12-09 05:01:58.133890,097d3a7d-2e71-4054-b889-37bf7d4561ab,RCPT300569,Cash,Prepaid,C,3533.98,47.98,24913303696377402582,265.05,1948.89,14543.61,6187,6234,47,Apr-2025,0.86,5,4.56,304.99
Todd Palmer MD,CUST500570,AEDC100570,MTR200570,32,"Maitama, Abuja, Nigeria",30000,12,44168.25,Yes,2.96,34.34,5,2025-08-02 02:23:36.822973,1e1e349f-adae-48c9-aa3b-e4d1d489308a,RCPT300570,Mobile App,Prepaid,C,4066.48,36.32,13945246810442148785,304.99,735.65,68585.7,4878,4914,36,Mar-2025,0.86,9,13.99,409.94
Mrs. Martha Nicholson,CUST500571,AEDC100571,MTR200571,56,"Asokoro, Abuja, Nigeria",30000,11,34812.01,No,3.98,28.51,2,2025-09-22 17:37:43.496866,15010a9d-0b11-4662-a953-2aab2b66802c,RCPT300571,Cash,Prepaid,C,2905.5,33.21,83898831719967971690,217.91,1157.89,3171.32,7976,8009,33,Mar-2025,0.91,4,6.74,360.62
Lauren Vega,CUST500572,AEDC100572,MTR200572,52,"Dutse, Abuja, Nigeria",30000,8,16453.57,Yes,4.77,5.23,0,2025-07-29 08:52:48.242606,00e26dc3-2eff-42f6-bdce-89f1ff085077,RCPT300572,Cash,Postpaid,B,2140.84,26.65,,160.56,914.28,74931.32,6308,6334,26,May-2025,0.92,3,3.46,165.29
Mrs. Sherry Lewis,CUST500573,AEDC100573,MTR200573,37,"Dutse, Abuja, Nigeria",30000,6,16564.76,No,3.63,44.96,3,2026-03-21 16:09:43.432628,7b5afe41-c9f1-445e-8655-a28da77ca4b8,RCPT300573,POS,Postpaid,B,2338.5,28.32,,175.39,1592.66,18929.06,6087,6115,28,Jan-2025,0.9,7,6.5,77.76
Jacob Lucas,CUST500574,AEDC100574,MTR200574,28,"Maitama, Abuja, Nigeria",45404,11,52259.97,No,4.23,20.6,0,2025-08-14 11:58:38.605867,1045604a-45f0-47b8-9f1b-1536f99efa9b,RCPT300574,Transfer,Prepaid,A,4712.43,49.66,02793162645473395451,353.43,1495.78,20583.79,5612,5661,49,Apr-2025,0.88,5,11.35,502.66
James Cooke,CUST500575,AEDC100575,MTR200575,46,"Kurudu, Abuja, Nigeria",30000,9,24991.09,No,2.92,29.03,3,2025-09-07 00:10:02.096870,cb32f6ce-ee42-42da-9eaf-45bc08a77b86,RCPT300575,POS,Prepaid,C,2502.54,21.34,39096333955632085976,187.69,983.79,21438.87,1810,1831,21,May-2025,1.0,8,23.83,262.3
Jesse Farley,CUST500576,AEDC100576,MTR200576,28,"Kubwa, Abuja, Nigeria",30000,10,21089.88,No,4.53,21.23,0,2025-06-18 00:23:17.990073,14d92f3d-97ca-4e26-bcaa-fbbb7cb2fb7e,RCPT300576,Cash,Postpaid,A,2430.13,27.95,,182.26,1686.43,5063.88,7613,7640,27,Apr-2025,0.87,2,5.15,351.63
Elizabeth Johnson,CUST500577,AEDC100577,MTR200577,21,"Asokoro, Abuja, Nigeria",46726,8,35991.62,No,2.81,32.56,6,2025-11-16 01:04:35.914237,ec63eb7c-073b-415e-9de4-255c216a730a,RCPT300577,Transfer,Postpaid,A,3758.23,56.04,,281.87,1157.82,14533.47,4366,4422,56,Jun-2025,0.85,8,13.2,502.79
Sheila Parker,CUST500578,AEDC100578,MTR200578,34,"Karu, Abuja, Nigeria",30000,7,25469.88,No,3.93,26.08,2,2025-07-12 20:47:58.397763,a347bae5-14e5-4f75-8f9d-340f34d29f5d,RCPT300578,POS,Prepaid,A,2799.94,28.97,20634859107958415103,210.0,550.62,18534.26,5057,5085,28,Jan-2025,1.0,4,8.14,223.74
Stacy Stone,CUST500579,AEDC100579,MTR200579,45,"Gwagwalada, Abuja, Nigeria",30000,9,30166.17,Yes,4.43,38.31,0,2025-08-12 19:14:56.039268,d334e55d-aac5-410b-a5fd-0b64ff938f27,RCPT300579,Transfer,Postpaid,B,3958.22,45.56,,296.87,2083.0,23132.44,6773,6818,45,May-2025,0.99,2,3.82,473.83
Deborah Fitzpatrick,CUST500580,AEDC100580,MTR200580,37,"Gwagwalada, Abuja, Nigeria",142949,5,100007.03,Yes,3.63,40.15,2,2025-06-18 10:14:30.323049,72de4429-26db-4294-b3b0-097b93891495,RCPT300580,Mobile App,Postpaid,B,19849.69,254.73,,1488.73,1569.19,63489.31,4208,4462,254,Mar-2025,0.83,5,11.4,1305.12
George Peters,CUST500581,AEDC100581,MTR200581,40,"Karu, Abuja, Nigeria",30000,7,30638.75,No,3.36,32.46,6,2025-06-16 17:47:39.858720,534f0b27-07e4-4612-8f7e-62072798ed07,RCPT300581,POS,Postpaid,C,4665.94,56.98,,349.95,1103.32,19161.86,5700,5756,56,Feb-2025,0.84,1,2.38,377.8
Miss Jessica Flores,CUST500582,AEDC100582,MTR200582,41,"Lugbe, Abuja, Nigeria",60159,9,64623.23,Yes,3.38,53.64,3,2025-08-29 05:07:01.181989,7d5f1db4-426c-4f57-be83-2f714e5403cb,RCPT300582,Cash,Prepaid,A,7908.02,130.92,92549692289831293079,593.1,1057.95,71962.7,3080,3210,130,May-2025,0.89,6,9.65,1182.32
Jennifer Petersen,CUST500583,AEDC100583,MTR200583,30,"Wuse, Abuja, Nigeria",70063,8,37567.27,No,4.01,31.95,2,2026-01-18 20:22:40.666875,c048cdbf-e356-4e3a-a0f9-27865d5c5e1f,RCPT300583,Transfer,Prepaid,A,3657.05,37.11,75787515383198873811,274.28,1056.65,10537.12,7913,7950,37,Apr-2025,0.93,3,5.4,309.24
Debra Ferguson,CUST500584,AEDC100584,MTR200584,38,"Wuse, Abuja, Nigeria",73659,7,71158.01,No,4.65,15.46,1,2025-12-05 10:49:11.724938,72b0283b-8c72-46b4-8dfc-07674a847896,RCPT300584,Cash,Postpaid,C,8204.42,109.9,,615.33,562.36,6837.27,4297,4406,109,Apr-2025,0.94,0,0.0,681.63
Jonathan Barr,CUST500585,AEDC100585,MTR200585,47,"Dutse, Abuja, Nigeria",30000,11,18373.3,No,4.38,35.69,0,2025-06-06 00:12:24.583043,4e38185d-930e-4671-a886-e93d1f7915e2,RCPT300585,Mobile App,Prepaid,C,1612.99,20.86,40094990155511028618,120.97,2371.65,11867.3,3975,3995,20,Feb-2025,0.89,3,5.22,207.85
Hailey Campbell,CUST500586,AEDC100586,MTR200586,37,"Maitama, Abuja, Nigeria",32451,8,33086.78,No,2.36,44.16,8,2025-05-13 19:18:52.285322,c9a78a91-6342-41da-869a-b94c0d113a97,RCPT300586,Mobile App,Prepaid,C,3059.98,49.54,84560794645869076801,229.5,506.0,11183.68,3380,3429,49,Jan-2025,0.97,10,11.99,401.65
Valerie Moore,CUST500587,AEDC100587,MTR200587,31,"Jabi, Abuja, Nigeria",116010,8,90803.92,No,3.28,23.97,4,2025-09-18 04:24:25.203716,ffb7921d-6c16-47f3-be6c-c4c074467179,RCPT300587,Cash,Prepaid,C,13458.24,177.81,76930473964960073191,1009.37,1487.16,4490.77,7773,7950,177,Feb-2025,1.0,8,13.59,1446.47
Tina Little,CUST500588,AEDC100588,MTR200588,27,"Maitama, Abuja, Nigeria",132677,7,116181.33,Yes,3.36,41.65,4,2025-05-03 09:34:22.392142,98605906-27fa-46bf-9670-80ac0339d04b,RCPT300588,Transfer,Prepaid,B,18430.87,153.35,07014440284949700321,1382.32,1544.7,39736.31,4227,4380,153,Jan-2025,0.93,4,8.57,1113.53
Ronald Vang,CUST500589,AEDC100589,MTR200589,34,"Wuse, Abuja, Nigeria",88607,13,159322.67,No,3.26,40.4,4,2025-12-20 05:20:12.595843,74c0cdfa-4f08-4ca2-a5cc-e90d64f940f9,RCPT300589,Mobile App,Prepaid,A,11999.28,141.73,81220763777277719228,899.95,597.35,29.47,7707,7848,141,Apr-2025,0.86,4,10.78,1850.02
Dawn Roberts,CUST500590,AEDC100590,MTR200590,26,"Jabi, Abuja, Nigeria",66868,8,68213.09,No,3.37,27.59,4,2025-12-29 05:07:41.589738,8c317f80-8e64-4818-97d9-cffa7839add9,RCPT300590,Cash,Prepaid,B,9762.25,103.97,23412741913513947609,732.17,1360.31,4063.47,2895,2998,103,Jun-2025,0.92,5,11.18,742.0
Thomas Bowman,CUST500591,AEDC100591,MTR200591,24,"Kurudu, Abuja, Nigeria",45380,9,19210.95,Yes,4.09,45.99,1,2026-01-23 01:18:31.557570,b98f2212-30c6-4a43-ac58-e7eb4927f17e,RCPT300591,Mobile App,Postpaid,B,1529.81,26.08,,114.74,425.14,76729.96,5757,5783,26,Apr-2025,0.82,3,5.09,237.99
Benjamin Sexton,CUST500592,AEDC100592,MTR200592,40,"Kurudu, Abuja, Nigeria",48038,10,14482.16,Yes,4.31,36.54,1,2025-07-14 18:16:28.996666,a71db706-f4a5-4f13-a3e2-c0b2c88f3e17,RCPT300592,Transfer,Prepaid,A,1350.84,11.64,45211266264737091222,101.31,902.28,2690.22,7837,7848,11,Jan-2025,0.95,2,2.55,118.09
Cynthia Simmons,CUST500593,AEDC100593,MTR200593,24,"Wuse, Abuja, Nigeria",156447,7,109230.3,No,4.93,6.79,0,2025-04-28 13:44:43.311079,2ebca017-e201-4890-9d3f-3b1fa69ee0d8,RCPT300593,Cash,Prepaid,B,14122.76,126.0,76278367341660011135,1059.21,1795.64,22667.51,7842,7968,126,Feb-2025,0.98,0,0.0,915.11
Danielle Brown,CUST500594,AEDC100594,MTR200594,24,"Jabi, Abuja, Nigeria",36697,8,10533.21,No,4.87,13.04,0,2025-05-31 15:31:49.059720,6077e157-0ebf-4020-a0d2-8faa4c8a7dfd,RCPT300594,POS,Postpaid,B,1312.32,19.42,,98.42,1979.1,1947.55,1437,1456,19,Apr-2025,0.95,0,0.0,169.33
Michael Lara,CUST500595,AEDC100595,MTR200595,26,"Kubwa, Abuja, Nigeria",30000,7,29986.1,No,4.47,22.0,1,2026-01-18 04:33:45.099349,38bba93c-a15b-4aec-8e17-fe1a154b9dbe,RCPT300595,Mobile App,Prepaid,C,4361.13,37.14,31829876604150596904,327.08,1625.71,15945.7,1932,1969,37,Apr-2025,0.9,2,2.19,240.64
Jeffrey Skinner,CUST500596,AEDC100596,MTR200596,24,"Wuse, Abuja, Nigeria",94538,5,15894.14,No,3.93,25.03,0,2026-02-23 07:46:08.204834,2bbcb607-8e93-498f-ad5c-c4fac307d0dc,RCPT300596,POS,Prepaid,A,3304.69,39.41,14596041518231974899,247.85,2376.21,29726.97,1172,1211,39,Feb-2025,1.0,8,16.36,179.34
Chad Hernandez,CUST500597,AEDC100597,MTR200597,33,"Kubwa, Abuja, Nigeria",104559,6,29267.36,Yes,3.77,26.59,3,2025-08-06 03:53:54.605545,a28c9021-a5e4-4f98-a114-bb05093d2715,RCPT300597,Mobile App,Postpaid,C,4052.12,31.38,,303.91,730.43,6048.23,2838,2869,31,Feb-2025,0.8,6,7.24,257.65
Charlotte Williams,CUST500598,AEDC100598,MTR200598,19,"Asokoro, Abuja, Nigeria",44036,6,30498.15,No,4.24,24.73,2,2025-04-03 16:25:00.990082,7b6fdf9d-d2c5-4287-b3ce-5baae4cb8f25,RCPT300598,Transfer,Prepaid,A,5628.04,75.55,32977053085474327769,422.1,390.17,22129.03,4333,4408,75,Jan-2025,0.84,2,2.25,401.73
Jocelyn Kelly,CUST500599,AEDC100599,MTR200599,18,"Dutse, Abuja, Nigeria",69145,13,122071.79,No,3.82,32.85,2,2026-01-05 19:55:03.166109,a3f9c46a-4773-44f5-8885-831b421ae132,RCPT300599,POS,Postpaid,B,11207.24,98.88,,840.54,657.23,24667.87,4117,4215,98,Mar-2025,0.83,3,8.93,1245.48
Jasmine Hawkins,CUST500600,AEDC100600,MTR200600,65,"Apo, Abuja, Nigeria",67161,5,49928.81,Yes,2.76,34.22,4,2025-06-15 14:32:42.953235,e18af64c-0e96-4033-b801-1434486656f5,RCPT300600,Transfer,Postpaid,A,7274.96,97.17,,545.62,2326.13,22579.59,2848,2945,97,Jan-2025,0.87,8,21.93,565.55
Erin Smith,CUST500601,AEDC100601,MTR200601,64,"Gwagwalada, Abuja, Nigeria",73564,8,53830.67,No,4.21,31.71,1,2025-10-08 15:54:06.378453,8d33cc6c-f38f-4fae-b19a-87d8f7bcf7de,RCPT300601,Transfer,Postpaid,C,7386.48,59.13,,553.99,1551.01,19865.93,5233,5292,59,May-2025,0.94,3,5.41,509.04
Timothy Smith,CUST500602,AEDC100602,MTR200602,32,"Karu, Abuja, Nigeria",30956,11,45505.06,Yes,4.4,30.37,1,2025-10-10 19:06:57.095792,e0cb1edb-8209-4e01-a976-ca3aac67de2a,RCPT300602,Mobile App,Prepaid,C,4940.33,41.01,43275941552294969734,370.52,1743.3,17401.12,5452,5493,41,Apr-2025,0.92,3,1.87,442.94
Carlos Barr,CUST500603,AEDC100603,MTR200603,37,"Gwarinpa, Abuja, Nigeria",77077,6,30402.3,No,3.89,25.12,2,2025-07-07 02:40:07.333858,ebdce5b1-5df3-47b9-b725-ad9f8df8c81d,RCPT300603,Cash,Prepaid,A,4990.04,49.17,20192906024819147481,374.25,1513.37,8797.57,3566,3615,49,Mar-2025,0.95,5,9.22,267.71
Bryan Beck,CUST500604,AEDC100604,MTR200604,25,"Apo, Abuja, Nigeria",49226,10,35143.03,No,3.85,41.38,3,2025-07-08 00:20:04.683795,6b1a42ce-d2c2-43d8-9275-aa5e03312d53,RCPT300604,POS,Postpaid,A,3426.61,27.48,,257.0,1773.36,14832.68,3045,3072,27,Jan-2025,0.94,4,2.7,314.36
Teresa Pitts,CUST500605,AEDC100605,MTR200605,42,"Wuse, Abuja, Nigeria",55412,6,30492.56,No,4.58,32.54,0,2025-11-06 18:15:14.979034,a5d5d479-0256-4c24-afe7-e58d79f6db7d,RCPT300605,Mobile App,Postpaid,A,5396.37,75.23,,404.73,1338.46,14325.79,4358,4433,75,Mar-2025,0.88,1,1.84,543.23
John Kim,CUST500606,AEDC100606,MTR200606,47,"Dutse, Abuja, Nigeria",57808,4,23850.63,No,4.15,45.84,1,2025-06-21 21:49:49.663050,42597c48-65d9-45c3-98a9-de386cae5206,RCPT300606,Cash,Postpaid,C,5350.62,54.9,,401.3,1788.73,6451.27,2171,2225,54,Jun-2025,0.96,2,3.9,298.57
Claudia Crawford,CUST500607,AEDC100607,MTR200607,36,"Wuse, Abuja, Nigeria",91721,8,95612.82,Yes,4.46,24.6,0,2025-06-02 08:44:45.722269,2842c89a-66dc-462e-8c1f-de6b715902be,RCPT300607,Mobile App,Postpaid,B,14303.52,140.95,,1072.76,2273.59,42360.72,7453,7593,140,May-2025,0.87,3,5.86,1271.1
Paul Williams,CUST500608,AEDC100608,MTR200608,39,"Maitama, Abuja, Nigeria",30000,12,20487.48,Yes,3.18,30.36,4,2025-06-05 13:13:53.930319,dff7a5e9-2782-4e97-baa4-5d97477f8d4f,RCPT300608,POS,Postpaid,B,1599.0,20.51,,119.92,900.96,44395.05,4807,4827,20,Jun-2025,0.87,6,14.33,228.84
John Smith,CUST500609,AEDC100609,MTR200609,30,"Jabi, Abuja, Nigeria",52243,7,24128.93,No,3.79,41.9,2,2025-12-03 00:55:33.485211,2be6394a-2e61-4425-aa8d-f86f158f1a6a,RCPT300609,Mobile App,Prepaid,B,2481.73,27.71,06024669113294635083,186.13,1776.51,11331.49,5420,5447,27,Feb-2025,1.0,3,7.82,217.81
Vanessa Miller,CUST500610,AEDC100610,MTR200610,54,"Apo, Abuja, Nigeria",195238,11,134728.84,No,4.47,30.29,0,2025-04-28 08:28:24.180045,ed021197-4bb4-4a69-a4a9-1ce639ee06b2,RCPT300610,Mobile App,Postpaid,B,13744.36,164.83,,1030.83,2310.29,11373.76,1430,1594,164,Mar-2025,0.95,6,4.59,1823.27
Jacqueline Phillips,CUST500611,AEDC100611,MTR200611,34,"Jabi, Abuja, Nigeria",43065,11,21780.65,No,4.24,24.99,2,2025-05-27 15:47:43.152528,a29a81f9-a79c-4633-adb4-ea9bfa3cce7e,RCPT300611,Transfer,Postpaid,B,1635.72,12.86,,122.68,321.31,24544.65,7541,7553,12,Jun-2025,0.93,2,2.28,100.31
Christopher Hicks,CUST500612,AEDC100612,MTR200612,41,"Gwagwalada, Abuja, Nigeria",30000,9,26132.38,No,4.6,25.75,0,2026-03-04 13:00:05.817590,aa8b64cb-aebf-4ebe-a9b2-c8dcd2078f53,RCPT300612,Cash,Postpaid,C,3251.15,43.76,,243.84,440.44,27305.33,6375,6418,43,Apr-2025,0.85,1,2.76,426.59
James Alexander,CUST500613,AEDC100613,MTR200613,48,"Gwarinpa, Abuja, Nigeria",30000,4,12880.42,No,3.25,31.35,3,2025-10-04 11:29:48.124465,28a8e47c-7bd4-4778-ab1f-146a0447bf6a,RCPT300613,Mobile App,Postpaid,A,2343.09,18.28,,175.73,2079.93,14614.64,7792,7810,18,May-2025,0.93,6,16.65,29.9
Kathleen Blake,CUST500614,AEDC100614,MTR200614,25,"Kurudu, Abuja, Nigeria",65934,12,103638.89,No,2.44,42.52,5,2026-03-04 07:36:17.634766,249e27b9-bd9f-4847-a4d7-2dd2f1f738fd,RCPT300614,Cash,Prepaid,A,7048.42,74.61,98124814322679829333,528.63,629.78,10535.06,3054,3128,74,Jun-2025,1.0,10,22.76,981.05
Adam Jennings,CUST500615,AEDC100615,MTR200615,28,"Jabi, Abuja, Nigeria",30000,8,22159.07,Yes,2.73,44.57,4,2026-01-14 06:06:00.635435,9ac5a845-ddff-470b-b1a6-0eba44d4a2d9,RCPT300615,Transfer,Prepaid,B,2746.79,35.73,16470534520644046109,206.01,1122.8,27864.65,7588,7623,35,Apr-2025,1.0,7,20.56,318.92
Noah Miller DDS,CUST500616,AEDC100616,MTR200616,39,"Lugbe, Abuja, Nigeria",76274,11,79528.64,No,3.1,37.87,4,2026-03-03 16:52:21.866424,5334361f-a308-40a9-8884-544b1431d47c,RCPT300616,Transfer,Postpaid,A,5819.65,61.24,,436.47,2035.85,12903.26,3459,3520,61,May-2025,0.86,6,14.48,697.54
Francis Peterson,CUST500617,AEDC100617,MTR200617,45,"Kubwa, Abuja, Nigeria",84548,7,57321.92,No,4.01,24.07,2,2025-06-05 21:38:04.279996,735809a4-89d4-4a4c-bad7-2112538e057c,RCPT300617,POS,Postpaid,A,7911.76,123.88,,593.38,1933.58,10166.4,5562,5685,123,Jun-2025,0.9,4,6.99,833.28
Ralph Berry,CUST500618,AEDC100618,MTR200618,27,"Lugbe, Abuja, Nigeria",34932,6,11722.98,No,2.92,40.03,4,2025-04-30 14:33:17.197997,1c960f06-4431-4e6e-a0ce-d590e95041c2,RCPT300618,Cash,Prepaid,B,2269.48,20.26,51558474412531964956,170.21,583.8,16184.59,2708,2728,20,Feb-2025,0.92,9,17.61,132.94
Jill Hill,CUST500619,AEDC100619,MTR200619,41,"Gwarinpa, Abuja, Nigeria",287230,10,113633.4,No,3.85,27.63,3,2025-05-07 09:34:20.396292,389e621d-52a9-4295-9001-2dee813a6b6f,RCPT300619,POS,Postpaid,C,11312.66,191.45,,848.45,1179.73,19684.78,1607,1798,191,May-2025,0.95,7,5.48,1984.31
Carolyn Riley,CUST500620,AEDC100620,MTR200620,65,"Apo, Abuja, Nigeria",212059,3,51858.05,No,3.18,36.03,4,2026-02-17 13:12:53.673597,456f7d95-e0da-48fd-bb1d-c6bbbbe3ddea,RCPT300620,Transfer,Prepaid,B,20103.7,321.34,91948792850678355992,1507.78,2024.55,15371.88,1284,1605,321,Mar-2025,0.98,5,13.28,839.16
Dale Sullivan,CUST500621,AEDC100621,MTR200621,36,"Asokoro, Abuja, Nigeria",43385,9,12594.66,No,4.79,15.49,0,2025-11-04 04:25:37.312944,b0c1eb05-2d5e-48c0-b7c4-4efa74ed88a5,RCPT300621,Cash,Prepaid,C,1264.27,16.37,46700276919944372311,94.82,504.86,22023.15,7582,7598,16,Apr-2025,0.96,1,1.1,135.94
Jennifer Carter,CUST500622,AEDC100622,MTR200622,31,"Karu, Abuja, Nigeria",97756,5,70987.67,No,3.22,34.76,5,2025-10-15 06:30:36.016903,fc5c7cca-3ec8-4bf0-b27a-2231e6853246,RCPT300622,Cash,Prepaid,B,12945.88,142.58,26893301449859863435,970.94,1882.08,22067.22,7109,7251,142,May-2025,0.95,9,8.64,649.91
Joshua Santos,CUST500623,AEDC100623,MTR200623,47,"Apo, Abuja, Nigeria",98436,4,40302.55,No,4.31,29.8,1,2025-06-18 13:01:58.581744,be79e26e-05c9-4ad9-965f-c44ad65f62b9,RCPT300623,Transfer,Prepaid,B,10054.9,112.82,51825529424325300191,754.12,529.17,20171.92,1001,1113,112,Feb-2025,1.0,3,3.83,466.55
Julie Huff,CUST500624,AEDC100624,MTR200624,27,"Jabi, Abuja, Nigeria",93174,4,52603.59,No,2.06,40.62,4,2025-12-16 12:40:48.681581,82dfccea-54d0-4e89-9d4d-8960e8a11169,RCPT300624,POS,Prepaid,C,15583.49,147.38,77158012182993292708,1168.76,1036.12,28421.09,2247,2394,147,Mar-2025,0.89,12,34.66,562.45
Laura Cooper,CUST500625,AEDC100625,MTR200625,48,"Kubwa, Abuja, Nigeria",30000,8,26086.22,No,4.48,32.85,0,2025-11-21 00:22:01.181581,efbab5a3-9404-4ec1-ab75-bf70d1fbef5d,RCPT300625,Cash,Postpaid,C,2836.17,22.9,,212.71,1252.9,4811.21,5726,5748,22,Feb-2025,0.87,2,3.82,225.39
Corey Reed,CUST500626,AEDC100626,MTR200626,44,"Wuse, Abuja, Nigeria",214283,10,306764.73,No,2.76,58.4,4,2025-10-12 00:07:15.174203,c97195c5-a684-4fe5-a6e3-837e22b9bda1,RCPT300626,Cash,Postpaid,B,27407.13,460.9,,2055.53,1904.67,23422.62,7903,8363,460,Mar-2025,0.97,10,17.02,4622.54
